firstName;lastName;addressLine1;addressLine2;addressLine3;state;pinCode;phone1;phone2;email
Kanisha;Waycott;Gene E Esq;5 Tomahawk Dr;Los Angeles;AK;90006;323-315-7314;323-453-2780;lezlie.craghead@craghead.org
Emerson;Bowley;762 S Main St;Madison;Dane;PA;53711;608-336-7444;608-658-7940;cdeleo@deleo.com
Blair;Malet;209 Decker Dr;Philadelphia;Philadelphia;ID;19132;215-907-9111;215-794-4519;evangelina@aol.com
Brock;Bolognia;4486 W O St #1;New York;New York;CA;10003;212-402-9216;212-617-5063;novella_degroot@degroot.org
Lorrie;Nestle;39 S 7th St;Tullahoma;Coffee;NC;37388;931-875-6644;931-303-6041;jfallick@yahoo.com
Sabra;Uyetake;98839 Hawthorne Blvd #6101;Columbia;Richland;CA;29201;803-925-5213;803-681-3678;sylvia_cousey@cousey.org
Marjory;Mastella;71 San Mateo Ave;Wayne;Delaware;OH;19087;610-814-5533;610-379-7125;nana@aol.com
Karl;Klonowski;Michael M;76 Brooks St #9;Flemington;MD;8822;908-470-4661;908-877-6135;marguerita.hiatt@gmail.com
Tonette;Wenner;4545 Courthouse Rd;Westbury;Nassau;NJ;11590;516-968-6051;516-333-4861;merlyn_lawler@hotmail.com
Amber;Monarrez;14288 Foster Ave #4121;Jenkintown;Montgomery;IL;19046;215-934-8655;215-329-6386;andra@gmail.com
Shenika;Seewald;4 Otis St;Van Nuys;Los Angeles;NJ;91405;818-423-4007;818-749-8650;fpoullion@poullion.com
Delmy;Ahle;65895 S 16th St;Providence;Providence;NM;2909;401-458-2547;401-559-8961;jhanafan@gmail.com
Deeanna;Juhas;George W Iv;14302 Pennsylvania Ave;Huntingdon Valley;NY;19006;215-417-9563;215-211-9589;marge@gmail.com
Blondell;Pugh;201 Hawk Ct;Providence;Providence;FL;2904;401-960-8259;401-300-8122;norah.waymire@gmail.com
Jamal;Vanausdal;Bruce Esq;53075 Sw 152nd Ter #615;Monroe Township;CA;8831;732-904-2931;732-234-1546;aliza@aol.com
Cecily;Hollack;59 N Groesbeck Hwy;Austin;Travis;TX;78731;512-486-3817;512-861-3814;freeman_gochal@aol.com
Carmelina;Lindall;2664 Lewis Rd;Littleton;Douglas;CA;80126;303-724-7371;303-874-5160;vincent.meinerding@hotmail.com
Maurine;Yglesias;Thomas C Md;59 Shady Ln #53;Milwaukee;CA;53214;414-573-7719;414-748-1374;leonida@gobern.org
Tawna;Buvens;3305 Nabell Ave #679;New York;New York;CA;10009;212-674-9610;212-462-9157;ressie.auffrey@yahoo.com
Penney;Weight;18 Fountain St;Anchorage;Anchorage;CA;99515;907-797-9628;907-873-2882;taryn.moyd@hotmail.com
Elly;Morocco;7 W 32nd St;Erie;Erie;CA;16502;814-393-5571;814-420-3553;alex@loader.com
Ilene;Eroman;William J Esq;2853 S Central Expy;Glen Burnie;IN;21061;410-937-4543;410-914-9018;my@hotmail.com
Vallie;Mondella;74 W College St;Boise;Ada;VA;83707;208-862-5339;208-737-8439;lorrine.worlds@worlds.com
Kallie;Blackwood;701 S Harrison Rd;San Francisco;San Francisco;LA;94104;415-315-2761;415-604-7609;daron_dinos@cox.net
Johnetta;Abdallah;1088 Pinehurst St;Chapel Hill;Orange;CO;27514;919-225-9345;919-715-3791;carey_dopico@dopico.org
Bobbye;Rhym;Patricia Garity;30 W 80th St #1995;San Carlos;CA;94070;650-811-9032;650-528-5783;stevie.westerbeck@yahoo.com
Micaela;Rhymes;20932 Hedley St;Concord;Contra Costa;HI;94520;925-647-3298;925-522-7798;alecia@aol.com
Tamar;Hoogland;2737 Pistorio Rd #9230;London;Madison;MN;43140;740-343-8575;740-526-5410;theodora.restrepo@restrepo.com
Moon;Parlato;Jessica M Md;74989 Brandon St;Wellsville;NC;14895;585-498-4278;585-866-8313;casie.good@aol.com
Laurel;Reitler;6 Kains Ave;Baltimore;Baltimore City;NY;21215;410-520-4832;410-957-6903;ftawil@hotmail.com
Delisa;Crupi;47565 W Grand Ave;Newark;Essex;OR;7105;973-354-2040;973-847-9611;rupthegrove@yahoo.com
Viva;Toelkes;4284 Dorigo Ln;Chicago;Cook;WI;60647;773-446-5569;773-352-3437;tresa_sweely@hotmail.com
Elza;Lipke;6794 Lake Dr E;Newark;Essex;MA;7104;973-927-3447;973-796-3667;jregusters@regusters.com
Devorah;Chickering;31 Douglas Blvd #950;Clovis;Curry;FL;88101;505-975-8559;505-950-1763;goldie.schirpke@yahoo.com
Timothy;Mulqueen;44 W 4th St;Staten Island;Richmond;PA;10309;718-332-6527;718-654-7063;loreta.timenez@hotmail.com
Arlette;Honeywell;11279 Loytan St;Jacksonville;Duval;TX;32254;904-775-4480;904-514-9918;lilli@aol.com
Dominque;Dickerson;69 Marquette Ave;Hayward;Alameda;FL;94545;510-993-3758;510-901-7640;jesusita.flister@hotmail.com
Lettie;Isenhower;Christopher A Esq;70 W Main St;Beachwood;MD;44122;216-733-8494;216-657-7668;caitlin.julia@julia.org
Myra;Munns;461 Prospect Pl #316;Euless;Tarrant;HI;76040;817-914-7518;817-451-3518;roosevelt.hoffis@aol.com
Stephaine;Barfield;47154 Whipple Ave Nw;Gardena;Los Angeles;MA;90247;310-774-7643;310-968-1219;hhalter@yahoo.com
Lai;Gato;Kenneth I Jr;37 Alabama Ave;Evanston;NJ;60201;847-957-4614;847-728-7286;lorean.martabano@hotmail.com
Stephen;Emigh;J Daniel Esq;3777 E Richmond St #900;Akron;CA;44302;330-700-2312;330-537-5358;ddhamer@cox.net
Tyra;Shields;Anne H Esq;3 Fort Worth Ave;Philadelphia;CA;19106;215-228-8264;215-255-1641;kirk.herritt@aol.com
Tammara;Wardrip;4800 Black Horse Pike;Burlingame;San Mateo;NY;94010;650-803-1936;650-216-5075;kate_keneipp@yahoo.com
Cory;Gibes;83649 W Belmont Ave;San Gabriel;Los Angeles;PA;91776;626-572-1096;626-696-2777;kaitlyn.ogg@gmail.com
Danica;Bruschke;Charles T;840 15th Ave;Waco;NJ;76708;254-205-1422;254-782-8569;lstuer@cox.net
Wilda;Giguere;Luther W Cpa;1747 Calle Amanecer #2;Anchorage;NJ;99501;907-914-9482;907-870-5536;lavonna.wolny@hotmail.com
Elvera;Benimadho;99385 Charity St #840;San Jose;Santa Clara;NY;95110;408-703-8505;408-440-8447;margart_meisel@yahoo.com
Carma;Vanheusen;68556 Central Hwy;San Leandro;Alameda;HI;94577;510-503-7169;510-452-4835;kristofer.bennick@yahoo.com
Malinda;Hochard;55 Riverside Ave;Indianapolis;Marion;NJ;46202;317-722-5066;317-472-2412;kristel.ehmann@aol.com
Natalie;Fern;Charles G Esq;7140 University Ave;Rock Springs;NJ;82901;307-279-3793;307-704-8713;krauser@cox.net
Lisha;Centini;64 5th Ave #1153;Mc Lean;Fairfax;MA;22102;703-235-3937;703-475-7568;wynell_dorshorst@dorshorst.org
Arlene;Klusman;3 Secor Rd;New Orleans;Orleans;TX;70112;504-710-5840;504-946-1807;sheron@aol.com
Alease;Buemi;4 Webbs Chapel Rd;Boulder;Boulder;OH;80303;303-301-4946;303-521-9860;rodolfo@hotmail.com
Louisa;Cronauer;524 Louisiana Ave Nw;San Leandro;Alameda;CA;94577;510-828-7047;510-472-7758;zona@hotmail.com
Angella;Cetta;185 Blackstone Bldge;Honolulu;Honolulu;TX;96817;808-892-7943;808-475-2310;erick_nievas@aol.com
Cyndy;Goldammer;170 Wyoming Ave;Burnsville;Dakota;WI;55337;952-334-9408;952-938-9457;jennie@cox.net
Rosio;Cork;4 10th St W;High Point;Guilford;TX;27263;336-243-5659;336-497-4407;cventura@yahoo.com
Celeste;Korando;7 W Pinhook Rd;Lynbrook;Nassau;NY;11563;516-509-2347;516-365-7266;dalene@schoeneck.org
Twana;Felger;1 Commerce Way;Portland;Washington;NJ;97224;503-939-3153;503-909-7167;gertude.witten@gmail.com
Estrella;Samu;64 Lakeview Ave;Beloit;Rock;OH;53511;608-976-7199;608-942-8836;gberray@gmail.com
Donte;Kines;3 Aspen St;Worcester;Worcester;NY;1602;508-429-8576;508-843-1426;lnewville@newville.com
Tiffiny;Steffensmeier;32860 Sierra Rd;Miami;Miami-Dade;AZ;33133;305-385-9695;305-304-6573;cordelia_storment@aol.com
Edna;Miceli;555 Main St;Erie;Erie;IN;16502;814-460-2655;814-299-2877;teddy_pedrozo@aol.com
Sue;Kownacki;2 Se 3rd Ave;Mesquite;Dallas;NY;75149;972-666-3413;972-742-4000;tasia_andreason@yahoo.com
Jesusa;Shin;A Thomas Esq;2239 Shawnee Mission Pky;Tullahoma;NJ;37388;931-739-1551;931-273-8709;hubert@walthall.org
Rolland;Francescon;Richard L Esq;2726 Charcot Ave;Paterson;NY;7501;973-284-4048;973-649-2922;arthur.farrow@yahoo.com
Pamella;Schmierer;5161 Dorsett Rd;Homestead;Miami-Dade;MN;33030;305-420-8970;305-575-8481;vberlanga@berlanga.com
Glory;Kulzer;55892 Jacksonville Rd;Owings Mills;Baltimore;PA;21117;410-224-9462;410-916-8015;billye_miro@cox.net
Shawna;Palaspas;James L Esq;5 N Cleveland Massillon Rd;Thousand Oaks;LA;91362;805-638-6617;805-275-3566;catarina_gleich@hotmail.com
Brandon;Callaro;7 Benton Dr;Honolulu;Honolulu;NY;96819;808-215-6832;808-240-5168;vkiel@hotmail.com
Scarlet;Cartan;J Calvin Esq;9390 S Howell Ave;Albany;CA;31701;229-365-9658;229-735-3378;hoa@sarao.org
Oretha;Menter;8 County Center Dr #647;Boston;Suffolk;ID;2210;617-418-5043;617-697-6024;mari_lueckenbach@yahoo.com
Ty;Smith;4646 Kaahumanu St;Hackensack;Bergen;TX;7601;201-672-1553;201-995-3149;clorinda.heimann@hotmail.com
Xuan;Rochin;Drake Sparks Esq;2 Monroe St;San Mateo;NV;94403;650-247-2625;650-933-5072;caprice@aol.com
Lindsey;Dilello;52777 Leaders Heights Rd;Ontario;San Bernardino;NJ;91761;909-639-9887;909-589-1693;clapage@lapage.com
Devora;Perez;72868 Blackington Ave;Oakland;Alameda;SC;94606;510-955-3016;510-755-9274;cassi.wildfong@aol.com
Herman;Demesa;9 Norristown Rd;Troy;Rensselaer;NY;12180;518-497-2940;518-931-7852;lonna_diestel@gmail.com
Rory;Papasergi;83 County Road 437 #8581;Clarks Summit;Lackawanna;CA;18411;570-867-7489;570-469-8401;nan@koppinger.com
Talia;Riopelle;1 N Harlem Ave #9;Orange;Essex;MA;7050;973-245-2133;973-818-9788;idewar@dewar.com
Van;Shire;90131 J St;Pittstown;Hunterdon;CA;8867;908-409-2890;908-448-1209;sbourbon@yahoo.com
Lucina;Lary;Albert J Jr;8597 W National Ave;Cocoa;NJ;32922;321-632-4668;321-749-4981;roslyn.chavous@chavous.org
Bok;Isaacs;6 Gilson St;Bronx;Bronx;IL;10468;718-809-3762;718-478-8568;rasheeda@aol.com
Rolande;Spickerman;65 W Maple Ave;Pearl City;Honolulu;NJ;96782;808-315-3077;808-526-5863;alpha@yahoo.com
Howard;Paulas;J Alan Esq;866 34th Ave;Denver;OH;80231;303-692-3118;303-623-4241;jgabisi@hotmail.com
Kimbery;Madarang;Arthur L Esq;798 Lund Farm Way;Rockaway;CA;7866;973-225-6259;973-310-1634;gail_similton@similton.com
Thurman;Manno;9387 Charcot Ave;Absecon;Atlantic;FL;8201;609-524-3586;609-234-8376;carlee.boulter@hotmail.com
Becky;Mirafuentes;30553 Washington Rd;Plainfield;Union;CA;7062;908-877-8409;908-426-8272;joles@gmail.com
Beatriz;Corrington;481 W Lemon St;Middleboro;Plymouth;PA;2346;508-584-4279;508-315-3867;beatriz@yahoo.com
Marti;Maybury;Kristin K Esq;4 Warehouse Point Rd #7;Chicago;CA;60638;773-539-1058;773-775-4522;
Nieves;Gotter;John J Esq;4940 Pulaski Park Dr;Portland;NJ;97202;503-455-3094;503-527-5274;
Leatha;Hagele;627 Walford Ave;Dallas;Dallas;NY;75227;214-339-1809;214-225-5850;lhagele@cox.net
Valentin;Klimek;Gayanne K Esq;137 Pioneer Way;Chicago;CA;60604;312-512-2338;312-303-5453;
Melissa;Wiklund;61 13 Stoneridge #835;Findlay;Hancock;NJ;45840;419-939-3613;419-254-4591;melissa@cox.net
Sheridan;Zane;2409 Alabama Rd;Riverside;Riverside;OR;92501;951-645-3605;951-248-6822;sheridan.zane@zane.com
Bulah;Padilla;8927 Vandever Ave;Waco;McLennan;GA;76707;254-463-4368;254-816-8417;bulah_padilla@hotmail.com
Audra;Kohnert;Karolyn King Esq;134 Lewis Rd;Nashville;FL;37211;615-448-9249;615-406-7854;
Daren;Weirather;9 N College Ave #3;Milwaukee;Milwaukee;TX;53216;414-959-2540;414-838-3151;dweirather@aol.com
Fernanda;Jillson;Edward L Esq;60480 Old Us Highway 51;Preston;NY;21655;410-724-6472;410-387-5260;
Gearldine;Gellinger;4 Bloomfield Ave;Irving;Dallas;FL;75061;972-934-6914;972-821-7118;gearldine_gellinger@gellinger.com
Chau;Kitzman;Edward Esq;429 Tiger Ln;Beverly Hills;NY;90212;310-969-7230;310-560-8022;
Theola;Frey;54169 N Main St;Massapequa;Nassau;PA;11758;516-948-5768;516-357-3362;theola_frey@frey.com
Cheryl;Haroldson;92 Main St;Atlantic City;Atlantic;CA;8401;609-518-7697;609-263-9243;cheryl@haroldson.org
Laticia;Merced;72 Mannix Dr;Cincinnati;Hamilton;CA;45203;513-508-7371;513-418-1566;lmerced@gmail.com
Carissa;Batman;Kim David Esq;12270 Caton Center Dr;Eugene;PA;97401;541-801-5717;541-326-4074;
Lezlie;Craghead;Carolyn Esq;749 W 18th St #45;Smithfield;LA;27577;919-885-2453;919-533-3762;
Ozell;Shealy;8 Industry Ln;New York;New York;MI;10002;212-332-8435;212-880-8865;oshealy@hotmail.com
Arminda;Parvis;1 Huntwood Ave;Phoenix;Maricopa;TX;85017;602-906-9419;602-277-3025;arminda@parvis.com
Reita;Leto;55262 N French Rd;Indianapolis;Marion;TX;46240;317-234-1135;317-787-5514;reita.leto@gmail.com
Yolando;Luczki;422 E 21st St;Syracuse;Onondaga;WA;13214;315-304-4759;315-640-6357;yolando@cox.net
Lizette;Stem;501 N 19th Ave;Cherry Hill;Camden;CA;8002;856-487-5412;856-702-3676;lizette.stem@aol.com
Gregoria;Pawlowicz;455 N Main Ave;Garden City;Nassau;CA;11530;516-212-1915;516-376-4230;gpawlowicz@yahoo.com
Carin;Deleo;Debbie;1844 Southern Blvd;Little Rock;FL;72202;501-409-6072;501-308-1040;
Chantell;Maynerich;2023 Greg St;Saint Paul;Ramsey;CA;55101;651-591-2583;651-776-9688;chantell@yahoo.com
Dierdre;Yum;63381 Jenks Ave;Philadelphia;Philadelphia;MA;19134;215-325-3042;215-346-4666;dyum@yahoo.com
Larae;Gudroe;6651 Municipal Rd;Houma;Terrebonne;TX;70360;985-890-7262;985-261-5783;larae_gudroe@gmail.com
Latrice;Tolfree;81 Norris Ave #525;Ronkonkoma;Suffolk;WI;11779;631-957-7624;631-998-2102;latrice.tolfree@hotmail.com
Kerry;Theodorov;6916 W Main St;Sacramento;Sacramento;CA;95827;916-591-3277;916-770-7448;kerry.theodorov@gmail.com
Dorthy;Hidvegi;9635 S Main St;Boise;Ada;NY;83704;208-649-2373;208-690-3315;dhidvegi@yahoo.com
Fannie;Lungren;17 Us Highway 111;Round Rock;Williamson;TX;78664;512-587-5746;512-528-9933;fannie.lungren@yahoo.com
Evangelina;Radde;Jan Esq;992 Civic Center Dr;Philadelphia;NY;19123;215-417-5612;215-964-3284;
Novella;Degroot;C Kelly Esq;303 N Radcliffe St;Hilo;NJ;96720;808-746-1865;808-477-4775;
Clay;Hoa;73 Saint Ann St #86;Reno;Washoe;MI;89502;775-501-8109;775-848-9135;choa@hoa.org
Jennifer;Fallick;Daniel J Esq;44 58th St;Wheeling;NY;60090;847-800-3054;847-979-9545;
Irma;Wolfgramm;9745 W Main St;Randolph;Morris;OH;7869;973-545-7355;973-868-8660;irma.wolfgramm@hotmail.com
Eun;Coody;84 Bloomfield Ave;Spartanburg;Spartanburg;CT;29301;864-256-3620;864-594-4578;eun@yahoo.com
Sylvia;Cousey;Charles E;287 Youngstown Warren Rd;Hampstead;MA;21074;410-863-8263;410-209-9545;
Nana;Wrinkles;Milbern D;6 Van Buren St;Mount Vernon;OH;10553;914-796-3775;914-855-2115;
Layla;Springe;229 N Forty Driv;New York;New York;CA;10011;212-260-3151;212-253-7448;layla.springe@cox.net
Joesph;Degonia;2887 Knowlton St #5435;Berkeley;Alameda;WY;94710;510-677-9785;510-942-5916;joesph_degonia@degonia.org
Annabelle;Boord;523 Marquette Ave;Concord;Middlesex;ME;1742;978-697-6263;978-289-7717;annabelle.boord@cox.net
Stephaine;Vinning;3717 Hamann Industrial Pky;San Francisco;San Francisco;CA;94104;415-767-6596;415-712-9530;stephaine@cox.net
Nelida;Sawchuk;3 State Route 35 S;Paramus;Bergen;TX;7652;201-971-1638;201-247-8925;nelida@gmail.com
Marguerita;Hiatt;George D Md;82 N Highway 67;Oakley;NJ;94561;925-541-8521;925-634-7158;
Carmela;Cookey;9 Murfreesboro Rd;Chicago;Cook;NJ;60623;773-494-4195;773-297-9391;ccookey@cookey.org
Junita;Brideau;6 S Broadway St;Cedar Grove;Essex;NY;7009;973-943-3423;973-582-5469;jbrideau@aol.com
Claribel;Varriano;6 Harry L Dr #6327;Perrysburg;Wood;MO;43551;419-544-4900;419-573-2033;claribel_varriano@cox.net
Benton;Skursky;47939 Porter Ave;Gardena;Los Angeles;CA;90248;310-579-2907;310-694-8466;benton.skursky@aol.com
Hillary;Skulski;9 Wales Rd Ne #914;Homosassa;Citrus;NJ;34448;352-242-2570;352-990-5946;hillary.skulski@aol.com
Merilyn;Bayless;195 13n N;Santa Clara;Santa Clara;WA;95054;408-758-5015;408-346-2180;merilyn_bayless@cox.net
Teri;Ennaco;99 Tank Farm Rd;Hazleton;Luzerne;NC;18201;570-889-5187;570-355-1665;tennaco@gmail.com
Merlyn;Lawler;Jeffrey L Esq;4671 Alemany Blvd;Jersey City;KS;7304;201-858-9960;201-588-7810;
Georgene;Montezuma;98 University Dr;San Ramon;Contra Costa;FL;94583;925-615-5185;925-943-3449;gmontezuma@cox.net
Jettie;Mconnell;50 E Wacker Dr;Bridgewater;Somerset;MN;8807;908-802-3564;908-602-5258;jmconnell@hotmail.com
Lemuel;Latzke;70 Euclid Ave #722;Bohemia;Suffolk;SC;11716;631-748-6479;631-291-4976;lemuel.latzke@gmail.com
Melodie;Knipp;326 E Main St #6496;Thousand Oaks;Ventura;CA;91362;805-690-1682;805-810-8964;mknipp@gmail.com
Candida;Corbley;406 Main St;Somerville;Somerset;IL;8876;908-275-8357;908-943-6103;candida_corbley@hotmail.com
Karan;Karpin;3 Elmwood Dr;Beaverton;Washington;CO;97005;503-940-8327;503-707-5812;karan_karpin@gmail.com
Andra;Scheyer;George O Esq;9 Church St;Salem;CT;97302;503-950-3068;503-516-2189;
Felicidad;Poullion;Tom S Esq;9939 N 14th St;Riverton;WA;8077;856-828-6021;856-305-9731;
Belen;Strassner;5384 Southwyck Blvd;Douglasville;Douglas;OH;30135;770-507-8791;770-802-4003;belen_strassner@aol.com
Gracia;Melnyk;97 Airport Loop Dr;Jacksonville;Duval;NH;32216;904-235-3633;904-627-4341;gracia@melnyk.com
Jolanda;Hanafan;Joseph J Esq;37855 Nolan Rd;Bangor;FL;4401;207-233-6185;207-458-9196;
Barrett;Toyama;4252 N Washington Ave #9;Kennedale;Tarrant;NY;76060;817-765-5781;817-577-6151;barrett.toyama@toyama.org
Helga;Fredicks;42754 S Ash Ave;Buffalo;Erie;CA;14228;716-752-4114;716-854-9845;helga_fredicks@yahoo.com
Ashlyn;Pinilla;703 Beville Rd;Opa Locka;Miami-Dade;MI;33054;305-670-9628;305-857-5489;apinilla@cox.net
Fausto;Agramonte;5 Harrison Rd;New York;New York;IN;10038;212-313-1783;212-778-3063;fausto_agramonte@yahoo.com
Ronny;Caiafa;73 Southern Blvd;Philadelphia;Philadelphia;CT;19103;215-605-7570;215-511-3531;ronny.caiafa@caiafa.org
Marge;Limmel;Robert D Jr;189 Village Park Rd;Crestview;MD;32536;850-330-8079;850-430-1663;
Norah;Waymire;Jeffery L Esq;6 Middlegate Rd #106;San Francisco;LA;94107;415-874-2984;415-306-7897;
Aliza;Baltimore;J Robert Esq;1128 Delaware St;San Jose;VA;95132;408-425-1994;408-504-3552;
Mozell;Pelkowski;577 Parade St;South San Francisco;San Mateo;PA;94080;650-947-1215;650-960-1069;mpelkowski@pelkowski.org
Viola;Bitsuie;70 Mechanic St;Northridge;Los Angeles;MN;91325;818-864-4875;818-481-5787;viola@gmail.com
Franklyn;Emard;4379 Highway 116;Philadelphia;Philadelphia;WI;19103;215-558-8189;215-483-3003;femard@emard.com
Willodean;Konopacki;55 Hawthorne Blvd;Lafayette;Lafayette;NJ;70506;337-253-8384;337-774-7564;willodean_konopacki@konopacki.org
Beckie;Silvestrini;7116 Western Ave;Dearborn;Wayne;ND;48126;313-533-4884;313-390-7855;beckie.silvestrini@silvestrini.com
Rebecka;Gesick;2026 N Plankinton Ave #3;Austin;Travis;NV;78754;512-213-8574;512-693-8345;rgesick@gesick.org
Frederica;Blunk;99586 Main St;Dallas;Dallas;AZ;75207;214-428-2285;214-529-1949;frederica_blunk@gmail.com
Glen;Bartolet;8739 Hudson St;Vashon;King;MD;98070;206-697-5796;206-389-1482;glen_bartolet@hotmail.com
Freeman;Gochal;William T Esq;383 Gunderman Rd #197;Coatesville;NY;19320;610-752-2683;610-476-3501;
Vincent;Meinerding;Peter D Esq;4441 Point Term Mkt;Philadelphia;TX;19143;215-829-4221;215-372-1718;
